symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,84118.078,9799957970.3872,19903837.00000000,2025-08-09 23:00:00+00:00
BTCUSDT,84005.291,9780063988.802,19903837.00000000,2025-08-10 00:00:00+00:00
BTCUSDT,84034.338,9806157955.738724,19903837.00000000,2025-08-10 01:00:00+00:00
BTCUSDT,84260.231,9819400881.244474,19904184.00000000,2025-08-10 02:00:00+00:00
BTCUSDT,85907.001,10074706295.14704,19904184.00000000,2025-08-10 03:00:00+00:00
BTCUSDT,85804.62,10165601359.244589,19904184.00000000,2025-08-10 04:00:00+00:00
BTCUSDT,86232.922,10215498120.747866,19904184.00000000,2025-08-10 05:00:00+00:00
BTCUSDT,85766.359,10121046834.170238,19904184.00000000,2025-08-10 06:00:00+00:00
BTCUSDT,85432.562,10083767614.7278,19904184.00000000,2025-08-10 07:00:00+00:00
BTCUSDT,85090.83,10021147049.1,19904184.00000000,2025-08-10 08:00:00+00:00
BTCUSDT,85247.493,10082033452.6254,19904184.00000000,2025-08-10 09:00:00+00:00
BTCUSDT,84942.358,10044794225.520533,19904184.00000000,2025-08-10 10:00:00+00:00
BTCUSDT,85011.678,10029771283.2858,19904184.00000000,2025-08-10 11:00:00+00:00
BTCUSDT,85131.021,10070659260.216,19904184.00000000,2025-08-10 12:00:00+00:00
BTCUSDT,85384.882,10116907961.088072,19904184.00000000,2025-08-10 13:00:00+00:00
BTCUSDT,85606.158,10136908677.82701,19904184.00000000,2025-08-10 14:00:00+00:00
BTCUSDT,86122.435,10227023762.223877,19904184.00000000,2025-08-10 15:00:00+00:00
BTCUSDT,86381.454,10259804718.3074,19904184.00000000,2025-08-10 16:00:00+00:00
BTCUSDT,86669.676,10282638953.271349,19904184.00000000,2025-08-10 17:00:00+00:00
BTCUSDT,86563.559,10256872824.1305,19904184.00000000,2025-08-10 18:00:00+00:00
BTCUSDT,86562.457,10259376772.031109,19904184.00000000,2025-08-10 19:00:00+00:00
BTCUSDT,86596.617,10272502183.911602,19904184.00000000,2025-08-10 20:00:00+00:00
BTCUSDT,86659.399,10250919072.546148,19904184.00000000,2025-08-10 21:00:00+00:00
BTCUSDT,86434.479,10257862455.3141,19904184.00000000,2025-08-10 22:00:00+00:00
BTCUSDT,86842.043,10331884434.4519,19904184.00000000,2025-08-10 23:00:00+00:00
BTCUSDT,86956.39,10370019072.006,19904184.00000000,2025-08-11 00:00:00+00:00
BTCUSDT,87089.786,10372505133.764635,19904184.00000000,2025-08-11 01:00:00+00:00
BTCUSDT,88665.997,10625543697.164171,19904184.00000000,2025-08-11 02:00:00+00:00
BTCUSDT,91021.558,11090718806.422997,19904606.00000000,2025-08-11 03:00:00+00:00
BTCUSDT,92869.235,11302591914.744385,19904606.00000000,2025-08-11 04:00:00+00:00
BTCUSDT,92561.44,11299866208.960112,19904606.00000000,2025-08-11 05:00:00+00:00
BTCUSDT,92802.797,11325857512.0334,19904606.00000000,2025-08-11 06:00:00+00:00
BTCUSDT,93394.514,11421121722.546,19904606.00000000,2025-08-11 07:00:00+00:00
BTCUSDT,94118.272,11438521433.450235,19904606.00000000,2025-08-11 08:00:00+00:00
